All   channel acquired
Date[dd-mm-yy]= 20-10-22   Time= 15:15:17
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.006640	    -0.010	     0.020	    -0.010	     0.024
  0.013280	     0.010	     0.010	     0.010	     0.017
  0.019920	     0.020	     0.000	    -0.010	     0.022
  0.026560	     0.010	    -0.030	    -0.030	     0.044
  0.033200	     0.000	    -0.020	     0.010	     0.022
  0.039840	     0.010	     0.000	     0.010	     0.014
  0.046480	     0.000	    -0.020	    -0.020	     0.028
  0.053120	     0.020	    -0.020	     0.000	     0.028
  0.059760	    -0.010	    -0.010	    -0.030	     0.033
  0.066400	    -0.020	    -0.020	    -0.020	     0.035
  0.073040	     0.000	    -0.020	    -0.060	     0.063
  0.079680	     0.000	     0.010	    -0.010	     0.014
  0.086320	    -0.020	    -0.030	    -0.050	     0.062
  0.092960	    -0.010	    -0.020	     0.020	     0.030
  0.099600	     0.000	    -0.010	    -0.010	     0.014
  0.106240	    -0.020	    -0.010	     0.000	     0.022
  0.112880	     0.010	    -0.010	     0.000	     0.014
  0.119520	    -0.020	     0.010	    -0.010	     0.024
  0.126160	    -0.040	     0.010	     0.000	     0.041
  0.132800	    -0.030	    -0.020	    -0.050	     0.062
  0.139440	     0.010	    -0.010	    -0.020	     0.024
  0.146080	    -0.020	    -0.010	    -0.030	     0.037
  0.152720	     0.000	    -0.020	     0.020	     0.028
  0.159360	    -0.020	    -0.040	    -0.030	     0.054
  0.166000	    -0.010	    -0.030	     0.000	     0.032
  0.172640	    -0.020	    -0.020	    -0.010	     0.030
  0.179280	     0.000	    -0.010	    -0.020	     0.022
  0.185920	     0.000	    -0.050	    -0.050	     0.071
  0.192560	     0.020	    -0.030	    -0.020	     0.041
  0.199200	    -0.020	     0.010	    -0.030	     0.037
  0.205840	     0.010	     0.000	    -0.020	     0.022
  0.212480	     0.020	     0.010	     0.000	     0.022
  0.219120	     0.020	     0.000	    -0.010	     0.022
  0.225760	     0.030	    -0.010	    -0.010	     0.033
  0.232400	    -0.010	    -0.010	    -0.030	     0.033
  0.239040	     0.010	    -0.040	    -0.030	     0.051
  0.245680	    -0.020	     0.000	     0.000	     0.020
  0.252320	     0.030	    -0.030	     0.010	     0.044
  0.258960	    -0.020	     0.010	    -0.010	     0.024
  0.265600	    -0.020	     0.000	     0.000	     0.020
  0.272240	     0.000	    -0.010	     0.000	     0.010
  0.278880	    -0.010	     0.000	    -0.010	     0.014
  0.285520	     0.010	    -0.010	    -0.020	     0.024
  0.292160	     0.000	    -0.030	    -0.020	     0.036
  0.298800	     0.010	     0.000	    -0.010	     0.014
  0.305440	    -0.020	     0.000	    -0.030	     0.036
  0.312080	     0.000	    -0.020	    -0.020	     0.028
  0.318720	     0.000	    -0.020	    -0.010	     0.022
  0.325360	    -0.030	     0.010	     0.010	     0.033
  0.332000	     0.000	     0.020	    -0.010	     0.022
  0.338640	     0.000	     0.000	     0.030	     0.030
  0.345280	     0.000	    -0.030	    -0.030	     0.042
  0.351920	     0.020	    -0.010	    -0.010	     0.024
  0.358560	     0.000	    -0.020	    -0.050	     0.054
