All   channel acquired
Date[dd-mm-yy]= 01-11-22   Time= 17:10:36
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.011300	     0.040	     0.010	    -0.080	     0.090
  0.022600	     0.040	     0.010	    -0.090	     0.099
  0.033900	     0.030	     0.000	    -0.080	     0.085
  0.045200	     0.040	     0.010	    -0.080	     0.090
  0.056500	     0.040	     0.010	    -0.070	     0.081
  0.067800	     0.010	     0.000	    -0.090	     0.091
  0.079100	     0.020	     0.010	    -0.090	     0.093
  0.090400	     0.060	     0.010	    -0.080	     0.100
  0.101700	     0.040	     0.000	    -0.090	     0.098
  0.113000	     0.050	     0.000	    -0.080	     0.094
  0.124300	     0.040	    -0.010	    -0.080	     0.090
  0.135600	     0.040	     0.010	    -0.090	     0.099
  0.146900	     0.040	     0.000	    -0.070	     0.081
  0.158200	     0.040	    -0.010	    -0.090	     0.099
  0.169500	     0.050	     0.000	    -0.100	     0.112
  0.180800	     0.030	     0.000	    -0.090	     0.095
  0.192100	     0.030	     0.010	    -0.060	     0.068
  0.203400	     0.040	     0.020	    -0.070	     0.083
  0.214700	     0.050	     0.010	    -0.090	     0.103
  0.226000	     0.030	     0.000	    -0.090	     0.095
  0.237300	     0.050	     0.000	    -0.090	     0.103
  0.248600	     0.020	     0.010	    -0.090	     0.093
  0.259900	     0.050	     0.000	    -0.090	     0.103
  0.271200	     0.030	     0.010	    -0.080	     0.086
  0.282500	     0.050	     0.010	    -0.100	     0.112
  0.293800	     0.030	     0.000	    -0.080	     0.085
  0.305100	     0.040	     0.000	    -0.090	     0.098
  0.316400	     0.030	     0.000	    -0.080	     0.085
  0.327700	     0.030	     0.000	    -0.070	     0.076
  0.339000	     0.040	     0.000	    -0.060	     0.072
  0.350300	     0.030	     0.010	    -0.080	     0.086
  0.361600	     0.030	     0.010	    -0.070	     0.077
  0.372900	     0.030	     0.010	    -0.070	     0.077
  0.384200	     0.020	     0.010	    -0.090	     0.093
  0.395500	     0.030	     0.000	    -0.090	     0.095
